,index,path,angle,emotion
0,BF07,kdef/KDEF/BF07/BF07SAS.JPG,4,5
13,BF07,kdef/KDEF/BF07/BF07AFS.JPG,4,0
17,BF07,kdef/KDEF/BF07/BF07SUS.JPG,4,6
19,BF07,kdef/KDEF/BF07/BF07ANS.JPG,4,1
30,BF07,kdef/KDEF/BF07/BF07DIS.JPG,4,2
32,BF07,kdef/KDEF/BF07/BF07HAS.JPG,4,3
36,BM11,kdef/KDEF/BM11/BM11DIS.JPG,4,2
39,BM11,kdef/KDEF/BM11/BM11SUS.JPG,4,6
44,BM11,kdef/KDEF/BM11/BM11HAS.JPG,4,3
55,BM11,kdef/KDEF/BM11/BM11SAS.JPG,4,5
57,BM11,kdef/KDEF/BM11/BM11ANS.JPG,4,1
62,BM11,kdef/KDEF/BM11/BM11AFS.JPG,4,0
81,BM27,kdef/KDEF/BM27/BM27HAS.JPG,4,3
89,BM27,kdef/KDEF/BM27/BM27ANS.JPG,4,1
95,BM27,kdef/KDEF/BM27/BM27SAS.JPG,4,5
97,BM27,kdef/KDEF/BM27/BM27SUS.JPG,4,6
103,BM27,kdef/KDEF/BM27/BM27AFS.JPG,4,0
104,BM27,kdef/KDEF/BM27/BM27DIS.JPG,4,2
111,BF29,kdef/KDEF/BF29/BF29SUS.JPG,4,6
114,BF29,kdef/KDEF/BF29/BF29DIS.JPG,4,2
116,BF29,kdef/KDEF/BF29/BF29AFS.JPG,4,0
119,BF29,kdef/KDEF/BF29/BF29ANS.JPG,4,1
124,BF29,kdef/KDEF/BF29/BF29SAS.JPG,4,5
132,BF29,kdef/KDEF/BF29/BF29HAS.JPG,4,3
142,BM33,kdef/KDEF/BM33/BM33ANS.JPG,4,1
156,BM33,kdef/KDEF/BM33/BM33HAS.JPG,4,3
162,BM33,kdef/KDEF/BM33/BM33SAS.JPG,4,5
170,BM33,kdef/KDEF/BM33/BM33DIS.JPG,4,2
172,BM33,kdef/KDEF/BM33/BM33AFS.JPG,4,0
173,BM33,kdef/KDEF/BM33/BM33SUS.JPG,4,6
175,AM19,kdef/KDEF/AM19/AM19HAS.JPG,4,3
177,AM19,kdef/KDEF/AM19/AM19SAS.JPG,4,5
181,AM19,kdef/KDEF/AM19/AM19DIS.JPG,4,2
192,AM19,kdef/KDEF/AM19/AM19SUS.JPG,4,6
203,AM19,kdef/KDEF/AM19/AM19AFS.JPG,4,0
206,AM19,kdef/KDEF/AM19/AM19ANS.JPG,4,1
218,AM14,kdef/KDEF/AM14/AM14ANS.JPG,4,1
230,AM14,kdef/KDEF/AM14/AM14AFS.JPG,4,0
235,AM14,kdef/KDEF/AM14/AM14DIS.JPG,4,2
237,AM14,kdef/KDEF/AM14/AM14HAS.JPG,4,3
239,AM14,kdef/KDEF/AM14/AM14SUS.JPG,4,6
241,AM14,kdef/KDEF/AM14/AM14SAS.JPG,4,5
261,AF01,kdef/KDEF/AF01/AF01SUS.JPG,4,6
262,AF01,kdef/KDEF/AF01/AF01HAS.JPG,4,3
270,AF01,kdef/KDEF/AF01/AF01AFS.JPG,4,0
272,AF01,kdef/KDEF/AF01/AF01SAS.JPG,4,5
276,AF01,kdef/KDEF/AF01/AF01ANS.JPG,4,1
277,AF01,kdef/KDEF/AF01/AF01DIS.JPG,4,2
286,AF28,kdef/KDEF/AF28/AF28SAS.JPG,4,5
287,AF28,kdef/KDEF/AF28/AF28AFS.JPG,4,0
